respondent_id,age_group,gender,education,heard_term_gender_sensitization,gender_is_binary_or_nonbinary,received_gender_training,support_school_curriculum,support_workplace_training,sensitization_helps_relationships,stereotype_men_rational_women_emotional,stereotype_women_bad_drivers,view_okay_for_men_to_cry,stereotype_men_strong_women_weak,stereotype_women_better_housekeepers,stereotype_gentle_men_less_masculine,childcare_only_mother_responsibility,woman_home_man_provider_role,chores_divided_equally_if_both_work,support_equal_pay,support_gender_diversity_quotas,discrimination_observed_nearby,support_gender_neutral_language,encourage_girls_nontraditional_careers,man_should_have_final_say_home,woman_should_not_tolerate_violence,sexist_jokes_okay,sensitization_reduces_gbv
R0244,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely",Maybe,Maybe,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Unsure,No,Yes,Maybe,No,Yes,No,Yes
R0245,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"No, not required","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Maybe,No,Yes
R0246,18-25,Male,Master's degree,Yes,Unsure,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Neutral,Disagree,Agree,Agree,Disagree,No,No,"No, the woman should manage both",Yes,Yes,Unsure,Yes,No,No,Yes,No,Maybe
R0247,18-25,Female,High school or equivalent,Yes,Binary,Yes,"Yes, definitely","No, not required",Yes,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
R0248,18-25,Female,Bachelor's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Maybe,Neutral,Disagree,Agree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
R0249,26-35,Male,Master's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Maybe,No,No,Yes
R0250,18-25,Female,Bachelor's degree,No,Unsure,No,"Yes, definitely",Maybe,Yes,Neutral,Agree,Agree,Agree,Agree,Agree,No,No,"Yes, definitely",No,Yes,Yes,Yes,No,No,No,No,Yes
R0251,18-25,Male,High school or equivalent,Yes,Binary,No,Maybe,"Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,No,No,Yes,Maybe,No,No,Yes
R0252,18-25,Female,High school or equivalent,Yes,Non-binary,No,Maybe,"Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Maybe,No,No,Yes
R0253,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Disagree,Agree,No,No,"No, the woman should manage both",Yes,Yes,No,Maybe,Yes,Yes,No,No,No
R0254,18-25,Female,Bachelor's degree,Yes,Binary,No,"No, not required","Yes, definitely",Yes,Agree,Agree,Agree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Maybe
R0255,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"No, not required","Yes, definitely",Yes,Neutral,Agree,Agree,Disagree,Disagree,Neutral,No,Yes,"Yes, definitely",Yes,Unsure,Unsure,Yes,Yes,No,No,No,Yes
R0256,18-25,Female,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
R0257,18-25,Male,High school or equivalent,No,Unsure,Yes,"Yes, definitely","No, not required",Yes,Agree,Disagree,Agree,Disagree,Neutral,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
R0258,18-25,Male,Master's degree,Yes,Non-binary,Yes,"Yes, definitely",Maybe,Yes,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Yes,Yes,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,No,Yes
R0259,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"No, not required","Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Disagree,Agree,No,No,"Yes, definitely",No,No,Unsure,Yes,Maybe,No,No,No,Yes
R0260,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0261,26-35,Male,Bachelor's degree,No,Unsure,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Neutral,Agree,Agree,Disagree,Disagree,No,No,"No, the woman should manage both",Yes,Yes,Yes,Yes,Yes,No,No,Maybe,Yes
R0262,18-25,Male,Bachelor's degree,Yes,Binary,No,Maybe,"Yes, definitely",Maybe,Disagree,Agree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,Yes,Maybe,Yes,No,No,No,Maybe
R0263,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","No, not required",Maybe,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,No,No,Maybe
R0264,26-35,Male,Bachelor's degree,Yes,Unsure,Yes,"Yes, definitely",Maybe,Yes,Neutral,Disagree,Agree,Agree,Neutral,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0265,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Disagree,Agree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Maybe
R0266,26-35,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Agree,Disagree,Disagree,Neutral,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,Maybe,No,Yes,Yes
R0267,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Agree,Agree,Disagree,No,No,"Yes, definitely",No,Yes,No,Yes,Yes,Yes,No,No,Maybe
R0268,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
R0269,18-25,Female,High school or equivalent,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Unsure,No,Yes,Yes,Yes,No,Yes,Yes
R0270,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Maybe,No,Yes,No,Maybe
R0271,More than 35,Male,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely",Maybe,Yes,Agree,Disagree,Agree,Agree,Agree,Agree,No,Yes,"Yes, definitely",No,Yes,Yes,Yes,Yes,No,No,No,Yes
R0272,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Yes,No,Yes
R0273,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely",Maybe,Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
R0274,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely",Maybe,Yes,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Maybe
R0275,18-25,Male,Bachelor's degree,No,Unsure,No,"Yes, definitely","Yes, definitely",No,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Maybe
R0276,18-25,Male,Bachelor's degree,Yes,Unsure,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Agree,Yes,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
R0277,18-25,Male,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",No,Neutral,Neutral,Agree,Disagree,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,No,Yes,No,No,No,Yes
R0278,18-25,Female,High school or equivalent,No,Unsure,No,"No, not required",Maybe,Yes,Agree,Disagree,Agree,Agree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Maybe
R0279,18-25,Female,Bachelor's degree,Yes,Unsure,Yes,"Yes, definitely",Maybe,Yes,Neutral,Disagree,Agree,Agree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0280,18-25,Female,High school or equivalent,No,Non-binary,No,"Yes, definitely","No, not required",Yes,Agree,Agree,Agree,Agree,Agree,Agree,No,No,"Yes, definitely",Yes,Unsure,Unsure,Maybe,Yes,Maybe,No,No,Maybe
R0281,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely",Maybe,Yes,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Yes
R0282,18-25,Female,Master's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes,"No, the woman should manage both",Yes,Yes,Yes,Yes,Maybe,Maybe,No,No,Yes
R0283,18-25,Male,Bachelor's degree,Yes,Unsure,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Yes
R0284,26-35,Male,Master's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Yes,Yes,"Yes, definitely",Yes,Yes,Unsure,Maybe,Yes,No,Yes,No,Maybe
R0285,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,No,Yes,Yes,No,No,Maybe
R0286,More than 35,Female,High school or equivalent,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Agree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Unsure,Yes,Maybe,Yes,No,No,No,Maybe
R0287,18-25,Male,Master's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Disagree,Agree,Yes,No,"Yes, definitely",Yes,No,No,Yes,Yes,Maybe,No,No,Yes
R0288,18-25,Male,Master's degree,No,Binary,No,"Yes, definitely","Yes, definitely",No,Agree,Agree,Agree,Agree,Neutral,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
R0289,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Maybe,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",No,Unsure,Yes,No,Yes,Maybe,No,No,Maybe
R0290,18-25,Female,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Yes,No,"Yes, definitely",Yes,No,No,Yes,Yes,No,No,No,Yes
R0291,26-35,Male,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Neutral,Agree,Agree,Agree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0292,18-25,Male,High school or equivalent,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Neutral,Agree,Agree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,Maybe,Yes
R0293,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0294,18-25,Female,Master's degree,No,Unsure,No,"Yes, definitely","Yes, definitely",Yes,Agree,Agree,Agree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
R0295,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Disagree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Unsure,Yes,Yes,Yes,Yes,No,No,Maybe
R0296,18-25,Female,Bachelor's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Agree,Agree,Neutral,Disagree,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0297,26-35,Male,Bachelor's degree,No,Binary,Yes,"Yes, definitely",Maybe,Yes,Neutral,Disagree,Agree,Disagree,Neutral,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
R0298,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","No, not required",Yes,Agree,Disagree,Agree,Disagree,Neutral,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
R0299,18-25,Female,Bachelor's degree,Yes,Unsure,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Maybe
R0300,18-25,Female,Master's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
R0301,18-25,Female,Master's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Agree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Maybe
R0302,18-25,Female,Bachelor's degree,Yes,Binary,No,"No, not required",Maybe,Yes,Agree,Neutral,Disagree,Disagree,Agree,Agree,No,No,"No, the woman should manage both",Yes,Yes,No,Maybe,Yes,No,No,No,Yes
R0303,18-25,Male,Master's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Neutral,Agree,No,No,"Yes, definitely",Yes,Yes,No,Yes,No,No,Yes,No,No
R0304,18-25,Female,High school or equivalent,No,Binary,No,"Yes, definitely","No, not required",Yes,Neutral,Neutral,Agree,Agree,Disagree,Neutral,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Yes,No,Maybe
R0305,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"No, the woman should manage both",Yes,Unsure,Unsure,Yes,No,No,No,Maybe,No
R0306,26-35,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",No,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
R0307,18-25,Female,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Agree,Agree,Disagree,Agree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Maybe
R0308,18-25,Female,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Neutral,Disagree,No,No,"Yes, definitely",No,Yes,Yes,No,Yes,Yes,No,No,Yes
R0309,18-25,Female,Master's degree,Yes,Non-binary,Yes,"Yes, definitely",Maybe,Yes,Agree,Disagree,Disagree,Neutral,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,No
R0310,18-25,Female,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Disagree,Agree,Neutral,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
R0311,18-25,Male,Master's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,No,No,"Yes, definitely",No,Yes,Yes,Maybe,No,No,No,Yes,Yes
R0312,Less than 18,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Neutral,Disagree,Agree,Disagree,Disagree,Agree,No,No,"Yes, definitely",Yes,Yes,Unsure,Maybe,Yes,No,Yes,Maybe,Yes
R0313,18-25,Male,High school or equivalent,No,Unsure,No,"Yes, definitely",Maybe,Yes,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,No,No,"No, the woman should manage both",Yes,Yes,Yes,Yes,Maybe,Yes,Yes,No,No
R0314,18-25,Male,Master's degree,Yes,Unsure,No,"Yes, definitely","Yes, definitely",No,Disagree,Neutral,Agree,Agree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
R0315,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"No, not required","Yes, definitely",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
R0316,18-25,Male,Bachelor's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Maybe,No,No,No,No
R0317,18-25,Male,Bachelor's degree,No,Non-binary,No,"Yes, definitely",Maybe,Yes,Neutral,Neutral,Agree,Agree,Agree,Agree,Yes,No,"Yes, definitely",Yes,Yes,Yes,No,Yes,No,No,No,No
R0318,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"No, not required","Yes, definitely",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,No,Maybe,No,No,No,Yes
R0319,18-25,Male,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Disagree,Agree,Yes,Yes,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,Maybe,No,No,Yes
R0320,18-25,Male,Master's degree,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,No,No,Yes,No,No,No,Maybe
R0321,18-25,Male,High school or equivalent,Yes,Non-binary,Yes,Maybe,Maybe,Maybe,Neutral,Neutral,Agree,Disagree,Neutral,Agree,No,No,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,Yes,No,No
R0322,18-25,Male,Master's degree,No,Binary,No,"Yes, definitely",Maybe,Yes,Agree,Agree,Agree,Agree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,No,No,Yes
R0323,26-35,Male,Master's degree,Yes,Unsure,No,"Yes, definitely",Maybe,Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Maybe,No,Maybe
R0324,26-35,Female,Master's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Maybe,Disagree,Disagree,Agree,Agree,Agree,Disagree,No,No,"Yes, definitely",Yes,No,Yes,Maybe,Yes,No,No,Yes,Yes
R0325,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Disagree,Neutral,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,No,Maybe,Yes,No,No,No,Yes
R0326,Less than 18,Female,Master's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Agree,Agree,Agree,Yes,No,"Yes, definitely",Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
R0327,18-25,Male,Bachelor's degree,Yes,Unsure,Yes,Maybe,Maybe,Yes,Agree,Agree,Agree,Neutral,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
R0328,18-25,Female,Bachelor's degree,No,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Neutral,Agree,Disagree,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,Maybe,No,No,Yes
R0329,18-25,Male,Bachelor's degree,No,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,No,No,No,Maybe,Maybe
R0330,18-25,Male,Master's degree,No,Unsure,No,"Yes, definitely",Maybe,No,Neutral,Agree,Agree,Agree,Agree,Neutral,No,No,"Yes, definitely",No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
R0331,18-25,Male,Bachelor's degree,No,Binary,No,"Yes, definitely",Maybe,Yes,Agree,Disagree,Agree,Disagree,Disagree,Agree,Yes,No,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,Maybe,No,Yes,Maybe
R0332,18-25,Male,Bachelor's degree,Yes,Unsure,No,"No, not required","Yes, definitely",Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,No,Yes,Maybe,Yes,No,No,No,Yes
R0333,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Agree,Agree,Neutral,Disagree,Disagree,No,Yes,"Yes, definitely",No,Yes,Yes,Yes,Yes,No,Yes,No,Maybe
R0334,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Yes,No,"Yes, definitely",Yes,Yes,No,Yes,No,No,Yes,No,Maybe
R0335,18-25,Male,Bachelor's degree,Yes,Unsure,No,Maybe,Maybe,Yes,Agree,Disagree,Agree,Agree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Unsure,No,Yes,Yes,No,Yes,No,Yes
R0336,18-25,Male,Bachelor's degree,No,Binary,No,"Yes, definitely",Maybe,Yes,Agree,Agree,Agree,Agree,Disagree,Agree,No,No,"Yes, definitely",Yes,Unsure,Unsure,Yes,Yes,No,No,Yes,No
R0337,18-25,Female,Bachelor's degree,Yes,Unsure,Yes,Maybe,"Yes, definitely",Yes,Disagree,Agree,Agree,Disagree,Agree,Disagree,No,No,"Yes, definitely",Yes,No,Unsure,No,Yes,No,No,No,Maybe
R0338,18-25,Male,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Neutral,Disagree,Disagree,No,Yes,"Yes, definitely",No,Yes,Yes,Yes,Yes,No,No,No,No
R0339,18-25,Female,Bachelor's degree,Yes,Unsure,Yes,Maybe,"Yes, definitely",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Agree,No,No,"Yes, definitely",Yes,Yes,No,Yes,Yes,Yes,No,No,Maybe
R0340,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely",Maybe,Yes,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Yes,No,"No, the woman should manage both",Yes,Yes,Unsure,Yes,Yes,No,No,No,Maybe
R0341,18-25,Female,High school or equivalent,No,Binary,No,"Yes, definitely",Maybe,Yes,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
R0342,26-35,Female,Master's degree,No,Unsure,Yes,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Yes,Yes,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Maybe,Yes,Yes
R0343,18-25,Female,Bachelor's degree,Yes,Binary,Yes,"Yes, definitely",Maybe,Yes,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Yes,Yes,"Yes, definitely",Yes,No,Yes,Yes,No,Maybe,No,Maybe,Yes
R0344,18-25,Female,Master's degree,Yes,Binary,No,"No, not required","Yes, definitely",Maybe,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Unsure,Yes,Yes,No,No,No,Yes
R0345,26-35,Female,High school or equivalent,Yes,Non-binary,Yes,"Yes, definitely","Yes, definitely",Yes,Agree,Neutral,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Unsure,No,Yes,Yes,No,No,No,Yes
R0346,26-35,Male,High school or equivalent,Yes,Binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Neutral,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
R0347,18-25,Female,Bachelor's degree,No,Binary,Yes,"Yes, definitely","Yes, definitely",Yes,Neutral,Agree,Agree,Disagree,Agree,Disagree,No,Yes,"Yes, definitely",No,Yes,Yes,Yes,Yes,No,No,No,Yes
R0348,18-25,Male,Master's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Maybe,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"Yes, definitely",Yes,Yes,No,Yes,Yes,No,No,No,Yes
R0349,18-25,Female,Master's degree,Yes,Binary,Yes,"Yes, definitely",Maybe,Yes,Agree,Disagree,Agree,Disagree,Agree,Disagree,Yes,Yes,"Yes, definitely",Yes,Unsure,Yes,Yes,Yes,No,No,No,Yes
R0350,18-25,Female,High school or equivalent,No,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Disagree,Disagree,Neutral,Disagree,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,No,No,Maybe,No,Yes,No,Maybe
R0351,18-25,Female,Bachelor's degree,Yes,Binary,No,"Yes, definitely","Yes, definitely",Maybe,Agree,Disagree,Agree,Disagree,Disagree,Disagree,No,No,"No, the woman should manage both",Yes,Yes,No,Yes,Yes,No,No,No,No
R0352,18-25,Male,Bachelor's degree,No,Binary,No,"No, not required","No, not required",Maybe,Agree,Disagree,Agree,Neutral,Agree,Agree,No,No,"Yes, definitely",Yes,Yes,Yes,Yes,Maybe,Yes,Yes,Maybe,Yes
R0353,18-25,Male,Bachelor's degree,Yes,Non-binary,No,"Yes, definitely","Yes, definitely",Yes,Agree,Disagree,Agree,Disagree,Neutral,Disagree,No,Yes,"Yes, definitely",No,Yes,Yes,Yes,Yes,No,No,No,Yes
R0354,18-25,Male,Master's degree,Yes,Non-binary,Yes,"Yes, definitely","No, not required",Yes,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,No,Yes,"Yes, definitely",Yes,Yes,Yes,Maybe,Yes,No,Yes,No,Yes
